id,name,code,parent_id/id,notprintable,sign
tc_root,Thai Chart of Taxes,,,,1
tc_vat,Taxable amounts,,tc_root,0,1
tc_vat_due,Value Added Tax,,tc_vat,0,1
tc_vat_due_input,Input VAT,V7,tc_vat_due,0,1
tc_vat_due_output,Output VAT,S7,tc_vat_due,0,1
tc_vat_undue,Undue Value Added Tax,,tc_vat,0,1
tc_vat_undue_input,Undue Input VAT,D7,tc_vat_undue,0,1
tc_vat_undue_output,Undue Output VAT,SD7,tc_vat_undue,0,1
tc_wht,Withholding Tax,,tc_root,0,1
tc_wht_corp,Corporate WHT,,tc_wht,0,1
tc_wht_corp_1,Corporate WHT 1%,CWHT1,tc_wht_corp,0,1
tc_wht_corp_2,Corporate WHT 2%,CWHT2,tc_wht_corp,0,1
tc_wht_corp_3,Corporate WHT 3%,CWHT3,tc_wht_corp,0,1
tc_wht_corp_5,Corporate WHT 5%,CWHT5,tc_wht_corp,0,1
tc_wht_psn,Personal WHT,,tc_wht,0,1
tc_wht_psn_1,Personal WHT 1%,PWHT1,tc_wht_psn,0,1
tc_wht_psn_2,Personal WHT 2%,PWHT2,tc_wht_psn,0,1
tc_wht_psn_3,Personal WHT 3%,PWHT3,tc_wht_psn,0,1
tc_wht_psn_5,Personal WHT 5%,PWHT5,tc_wht_psn,0,1
tc_wht_income,Income WHT,,tc_wht,0,1
tc_wht_income_1,Income WHT 1%,IWHT1,tc_wht_income,0,1
tc_wht_income_2,Income WHT 2%,IWHT2,tc_wht_income,0,1
tc_wht_income_3,Income WHT 3%,IWHT3,tc_wht_income,0,1
tc_wht_income_5,Income WHT 5%,IWHT5,tc_wht_income,0,1
