id,description,chart_template_id/id,type_tax_use,name,is_wht,is_undue_tax,type,amount,account_collected_id,account_paid_id,base_code_id,tax_code_id,ref_base_code_id/id,ref_tax_code_id/id,tax_sign,base_sign,ref_base_sign,ref_tax_sign,parent_id/id
tax_vat_input_0,,RJE_account_chart,purchase,Input VAT 0%,0,0,percent,0,116310,116310,V7,V7,,,1,1,-1,-1,
tax_vat_input_7,,RJE_account_chart,purchase,Input VAT 7%,0,0,percent,0.07,116310,116310,V7,V7,,,1,1,-1,-1,
tax_undue_vat_input_7,,RJE_account_chart,purchase,Undue Input VAT 7%,0,1,percent,0.07,116330,116330,D7,D7,,,1,1,-1,-1,
tax_vat_output_0,,RJE_account_chart,sale,Output VAT 0%,0,0,percent,0,214100,214100,S7,S7,,,1,1,-1,-1,
tax_vat_output_7,,RJE_account_chart,sale,Output VAT 7%,0,0,percent,0.07,214100,214100,S7,S7,,,1,1,-1,-1,
tax_wht_corp_1,,RJE_account_chart,purchase,Corporate WHT 1%,1,0,percent,0.01,214337,214337,CWHT1,CWHT1,,,1,1,-1,-1,
tax_wht_corp_2,,RJE_account_chart,purchase,Corporate WHT 2%,1,0,percent,0.02,214337,214337,CWHT2,CWHT2,,,1,1,-1,-1,
tax_wht_corp_3,,RJE_account_chart,purchase,Corporate WHT 3%,1,0,percent,0.03,214337,214337,CWHT3,CWHT3,,,1,1,-1,-1,
tax_wht_corp_5,,RJE_account_chart,purchase,Corporate WHT 5%,1,0,percent,0.05,214337,214337,CWHT5,CWHT5,,,1,1,-1,-1,
tax_wht_psn_1,,RJE_account_chart,purchase,Personal WHT 1%,1,0,percent,0.01,214336,214336,PWHT1,PWHT1,,,1,1,-1,-1,
tax_wht_psn_2,,RJE_account_chart,purchase,Personal WHT 2%,1,0,percent,0.02,214336,214336,PWHT2,PWHT2,,,1,1,-1,-1,
tax_wht_psn_3,,RJE_account_chart,purchase,Personal WHT 3%,1,0,percent,0.03,214336,214336,PWHT3,PWHT3,,,1,1,-1,-1,
tax_wht_psn_5,,RJE_account_chart,purchase,Personal WHT 5%,1,0,percent,0.05,214336,214336,PWHT5,PWHT5,,,1,1,-1,-1,
tax_wht_income_1,,RJE_account_chart,sale,Income WHT 1%,1,0,percent,0.01,116340,116340,IWHT1,IWHT1,,,1,1,-1,-1,
tax_wht_income_2,,RJE_account_chart,sale,Income WHT 2%,1,0,percent,0.02,116340,116340,IWHT2,IWHT2,,,1,1,-1,-1,
tax_wht_income_3,,RJE_account_chart,sale,Income WHT 3%,1,0,percent,0.03,116340,116340,IWHT3,IWHT3,,,1,1,-1,-1,
tax_wht_income_5,,RJE_account_chart,sale,Income WHT 5%,1,0,percent,0.05,116340,116340,IWHT5,IWHT5,,,1,1,-1,-1,
